"Subject Catalog Nbr
",Title,"Instructors

","Term
","Term Code
",Cross- listed,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP,S,U,I,W,IP,-,Total
MUSC 5B,Int W Java Gamelan,Undang Sumarna,2019 Spr,2192,N,,32,,,2,,,,,,,,,3,,,,,,,,37
MUSC 5C,Adv W Java Gamelan,Undang Sumarna,2019 Spr,2192,N,1,14,,,,,,,,,,,,,,2,,,,,,17
MUSC 8A,Balinese Gamelan,Brian Baumbusch,2019 Spr,2192,N,,22,,,,,,,,,,,,2,,,,,,,,24
MUSC 8B,Adv Balinese Gameln,Brian Baumbusch,2019 Spr,2192,N,,18,,,,,,,,,,,,,,1,,,,,,19
MUSC 9,Wind Ensemble,Nathaniel Berman,2019 Spr,2192,N,,33,,,,,,,,,,,,,,1,,,1,,1,36
MUSC 12,Mariachi Ensemble,Russell Rodriguez,2019 Spr,2192,N,5,3,4,1,,,,,,,,,,4,,,,,,,,17
MUSC 12B,Mexican Folklorico,Russell Rodriguez,2019 Spr,2192,N,19,4,,,,,,,,,,,,,,,,,,,,23
MUSC 15,Prep Musicianship,David Jones,2019 Spr,2192,N,1,9,2,1,4,2,1,2,1,,,,,1,,,,,1,,,25
MUSC 16,Foundations of Music,Nicol Hammond,2019 Spr,2192,N,4,2,,,5,1,,5,,,1,,1,2,,,,,,,,21
MUSC 30C,"Theor, Lit, Music",Anatole Leikin,2019 Spr,2192,N,1,7,4,1,3,4,2,1,,,1,,,,,,,,,,,24
MUSC 51,Vocal Repertoire Class,Sheila Willey,2019 Spr,2192,N,,20,3,,,,,,,,,,,,,1,,,,,,24
MUSC 80K,Sound in Art/Science,Madison Heying,2019 Spr,2192,N,24,28,3,5,9,1,2,4,,,1,,4,15,2,,,,4,,,102
MUSC 80V,The Beatles Music,Giacomo Fiore,2019 Spr,2192,N,15,66,67,56,41,14,15,6,1,1,,,6,69,6,,,,8,,,371
MUSC 80X,Music of India,Michael Lindsey,2019 Spr,2192,N,8,15,12,15,14,15,9,5,,,7,,2,26,6,,,,7,,,141
MUSC 81H,GoldenAge of HipHop,James Minton,2019 Spr,2192,N,95,160,,9,34,,1,7,,,3,,15,38,5,,,,6,,,373
MUSC 101B,Hist West Art Music,Amy Beal,2019 Spr,2192,N,7,3,3,,1,4,,,,,,,,,,,,,1,,,19
MUSC 105R,HistoryRussianMusic,Anatole Leikin,2019 Spr,2192,N,,13,1,,,,,,,,,,1,1,,,,,,,,16
MUSC 124,Int Elec Sound Synt,Giacomo Fiore,2019 Spr,2192,N,3,4,6,3,,1,1,1,,1,,,,,,,,,,,,20
MUSC 150X,AmericanMusicTheory,Larry Polansky,2019 Spr,2192,N,5,7,1,1,,,,,,,,,,,,1,,,,,,15
MUSC 160,Univ Opera Theater,Sheila Willey,2019 Spr,2192,N,,23,,,,,,,,,,,,1,,,,,,,,24
MUSC 164,Jazz Ensembles,Stan Poplin,2019 Spr,2192,N,,11,,,,1,,,,,,,,,,,,,,,,12
MUSC 166,Chamber Singers,Bruce Kiesling,2019 Spr,2192,N,,22,,,,,,,,,,,,1,,,,,,,,23
MUSC 252,Current Issues Coll,Amy Beal,2019 Spr,2192,N,,3,,,,,,,,,,,,,,9,,,,,,12
OAKS 48,Slugs:Stories/Selves,Mark Gardner,2019 Spr,2192,N,13,7,,,2,,,,,,,,,1,,,,,,,,23
OAKS 67,Politics of Food,Mark Baker; Robin King,2019 Spr,2192,N,,16,,,,,,,,,,,,1,,,,,1,,,18
OAKS 75,Devlp & Leadership,Raghda Eldeeb,2019 Spr,2192,N,10,5,1,,,,,,,,,,,,,,,,,,,16
OAKS 80H,RainbowTheaterCltrl,Donald Williams,2019 Spr,2192,N,1,32,1,,,,1,,,,,,,2,,,,,,,,37
OCEA 1,The Oceans,Christopher Edwards,2019 Spr,2192,N,17,22,22,18,16,8,9,4,,3,,1,4,26,4,,,,8,,,162
OCEA 80B,Our Changing Planet,Phoebe Lam,2019 Spr,2192,N,8,20,9,16,17,18,12,10,2,1,,1,2,15,1,,,,3,,,135
OCEA 118,Marine Microb Ecol,Jonathan Zehr,2019 Spr,2192,Y,3,8,,5,2,2,2,1,,,,,,,,,,,,,,23
OCEA 130,Biol Oceanography,Marilou Sison Mangus,2019 Spr,2192,N,,2,1,15,19,2,3,5,1,,,,1,,,,,,2,,,51
OCEA 230,Biol Oceanography,Marilou Sison Mangus,2019 Spr,2192,N,,7,7,2,1,,,,,,,,,,,,,,,,,17
OCEA 241,Ecosystem Dynamics,Jerome Fiechter,2019 Spr,2192,N,,3,1,,,,,,,,,,,,,10,,,,,,14
OCEA 292,Seminar,Jerome Fiechter,2019 Spr,2192,N,,,,,,,,,,,,,,,,43,,,,,,43
PHIL 11,Intro To Philosophy,Sandra Dreisbach,2019 Spr,2192,N,15,249,20,12,14,3,1,,1,,,,8,106,1,,,,5,,,435
PHIL 27,Business Ethics,Kyle Robertson,2019 Spr,2192,N,7,39,36,25,26,8,3,8,1,,1,,2,30,1,,,,4,,,191
PHIL 100C,The Empiricists,Abraham Stone,2019 Spr,2192,N,,11,28,24,13,2,,1,,,1,,1,2,,,,,,,,83
PHIL 113,Analytic Philosophy,Paul Roth,2019 Spr,2192,N,,4,5,8,8,6,4,3,1,,,,1,2,1,,,,1,,,44
PHIL 124,Other Minds,Janette Dinishak,2019 Spr,2192,N,,8,11,9,13,4,2,1,,,,,1,1,,,,,1,,,51
PHIL 190,Senior Seminar,Janette Dinishak,2019 Spr,2192,N,,6,5,4,3,1,,1,,,,,,,,,,,,,,20
PHYE 5B,Swimming Level II,Joel Wilson,2019 Spr,2192,N,,,,,,,,,,,,,,14,,2,,,,,,16
PHYE 5B,Swimming Level II,Joel Wilson,2019 Spr,2192,N,,,,,,,,,,,,,,10,,3,,,,,,13
PHYE 5G,Swim Conditioning,Thomas Crawford,2019 Spr,2192,N,,,,,,,,,,,,,,15,,2,,,,,,17
PHYE 5G,Swim Conditioning,Thomas Crawford,2019 Spr,2192,N,,,,,,,,,,,,,,16,,1,,,,,,17
PHYE 5S,AdvancedScubaDiving,Cecilia Shin,2019 Spr,2192,N,,,,,,,,,,,,,,14,,1,,,,,,15
PHYE 9B,BegDinghySailing,Russell Kingon,2019 Spr,2192,N,,,,,,,,,,,,,,13,,1,1,,,,,15
PHYE 9B,BegDinghySailing,Russell Kingon,2019 Spr,2192,N,,,,,,,,,,,,,,12,,1,1,,,,,14
PHYE 9B,BegDinghySailing,Hilary Scheer,2019 Spr,2192,N,,,,,,,,,,,,,,7,3,2,,,,,,12
PHYE 9B,BegDinghySailing,Hilary Scheer,2019 Spr,2192,N,,,,,,,,,,,,,,14,1,1,,,,,,16
PHYE 9B,BegDinghySailing,Hilary Scheer,2019 Spr,2192,N,,,,,,,,,,,,,,10,2,1,,,,,,13
PHYE 9B,BegDinghySailing,Hilary Scheer,2019 Spr,2192,N,,,,,,,,,,,,,,9,3,1,,,1,,,14
PHYE 9C,IntermedDinghySail,Russell Kingon,2019 Spr,2192,N,,,,,,,,,,,,,,6,3,2,,,1,,,12
PHYE 9K,Ocean Kayaking,David Johnston,2019 Spr,2192,N,,,,,,,,,,,,,,10,,1,,,2,,,13
PHYE 9K,Ocean Kayaking,David Johnston,2019 Spr,2192,N,,,,,,,,,,,,,,11,,2,,,,,,13
PHYE 9S,Beg Keel Sailing,Russell Kingon,2019 Spr,2192,N,,,,,,,,,,,,,,11,2,1,1,,,,,15
PHYE 15B,Basketball,Todd Kent,2019 Spr,2192,N,,,,,,,,,,,,,,22,,,,,,,,22
PHYE 15B,Basketball,Todd Kent,2019 Spr,2192,N,,,,,,,,,,,,,,19,,,,,,,,19
PHYE 15N,Tennis,Amy Jensen,2019 Spr,2192,N,,,,,,,,,,,,,,,,,,,1,,16,17
PHYE 15N,Tennis,Amy Jensen,2019 Spr,2192,N,,,,,,,,,,,,,,,,,,,,,17,17
PHYE 15N,Tennis,Amy Jensen,2019 Spr,2192,N,,,,,,,,,,,,,,,,,,,1,,12,13
PHYE 15T,Volleyball,Lake Merchen,2019 Spr,2192,N,,,,,,,,,,,,,,14,6,,,,1,,,21
PHYE 15T,Volleyball,Yelena Skazka,2019 Spr,2192,N,,,,,,,,,,,,,,21,2,,,,2,,,25
PHYE 15T,Volleyball,Jacob Landel,2019 Spr,2192,N,,,,,,,,,,,,,,18,,1,,,,,,19
PHYE 20A,Ballet,Vicki Bergland,2019 Spr,2192,N,,,,,,,,,,,,,,26,4,4,,,1,,,35
PHYE 20A,Ballet,Vicki Bergland,2019 Spr,2192,N,,,,,,,,,,,,,,15,1,5,,,1,,,22
PHYE 20A,Ballet,Vicki Bergland,2019 Spr,2192,N,,,,,,,,,,,,,,12,,1,,,1,,,14
PHYE 20A,Ballet,Vicki Bergland,2019 Spr,2192,N,,,,,,,,,,,,,,10,,5,,,,,,15
PHYE 20C,Jazz Dance,Rachel Peterson,2019 Spr,2192,N,,,,,,,,,,,,,,16,4,1,,,1,,,22
PHYE 20C,Jazz Dance,Rachel Peterson,2019 Spr,2192,N,,,,,,,,,,,,,,17,2,1,,,,,,20
PHYE 20D,Modern Dance,Rachel Peterson,2019 Spr,2192,N,,,,,,,,,,,,,,21,,,1,,2,,,24
PHYE 20D,Modern Dance,Rachel Peterson,2019 Spr,2192,N,,,,,,,,,,,,,,22,1,,,,1,,,24
PHYE 25A,Fencing: Epee,Robin Phillips,2019 Spr,2192,N,,,,,,,,,,,,,,13,,,,,1,,,14
PHYE 25B,Fencing: Foil,Robin Phillips,2019 Spr,2192,N,,,,,,,,,,,,,,17,,,,,,,,17
PHYE 25C,Fencing: Sabre,Robin Phillips,2019 Spr,2192,N,,,,,,,,,,,,,,18,,2,,,,,,20
PHYE 28K,Soccer,Riley Hanley,2019 Spr,2192,N,,,,,,,,,,,,,,23,,3,,,1,,,27
PHYE 28K,Soccer,Riley Hanley,2019 Spr,2192,N,,,,,,,,,,,,,,18,,1,,,,,,19
PHYE 30G,Fitness Conditioning,Kia Blaustein,2019 Spr,2192,N,,,,,,,,,,,,,,18,2,2,,,1,,,23
PHYE 30G,Fitness Conditioning,Dixie Mills,2019 Spr,2192,N,,,,,,,,,,,,,,17,3,,1,,,,,21
PHYE 30G,Fitness Conditioning,Dixie Mills,2019 Spr,2192,N,,,,,,,,,,,,,,14,1,2,,,1,,,18
PHYE 30G,Fitness Conditioning,Kia Blaustein,2019 Spr,2192,N,,,,,,,,,,,,,,24,1,1,,,,,,26
PHYE 30G,Fitness Conditioning,Vicki Bergland,2019 Spr,2192,N,,,,,,,,,,,,,,13,3,,,,1,,,17
PHYE 30G,Fitness Conditioning,Dixie Mills,2019 Spr,2192,N,,,,,,,,,,,,,,14,1,3,,,3,,,21
PHYE 30J,Strength Training,James Meyer,2019 Spr,2192,N,,,,,,,,,,,,,,6,5,,1,,,,,12
PHYE 30J,Strength Training,James Meyer,2019 Spr,2192,N,,,,,,,,,,,,,,17,3,,,,1,,,21
PHYE 30J,Strength Training,Todd Kent,2019 Spr,2192,N,,,,,,,,,,,,,,28,,1,,,,,,29
PHYE 30J,Strength Training,Todd Kent,2019 Spr,2192,N,,,,,,,,,,,,,,26,,1,,,,,,27
PHYE 30L,Yoga Exercises,Kia Blaustein,2019 Spr,2192,N,,,,,,,,,,,,,,22,2,2,1,,1,,,28
PHYE 30L,Yoga Exercises,Henry Heikkinen,2019 Spr,2192,N,,,,,,,,,,,,,,15,3,1,,,1,,,20
PHYE 30L,Yoga Exercises,Kia Blaustein,2019 Spr,2192,N,,,,,,,,,,,,,,19,4,4,1,,1,,,29
PHYE 30N,Self-Defense Basics,Yoshihito Shibata,2019 Spr,2192,N,,,,,,,,,,,,,,19,,1,,,,,,20
PHYE 30N,Self-Defense Basics,Yoshihito Shibata,2019 Spr,2192,N,,,,,,,,,,,,,,17,,2,1,,2,,,22
PHYE 43A,Aikido,Yoshihito Shibata,2019 Spr,2192,N,,,,,,,,,,,,,,17,,2,,,3,,,22
PHYE 43A,Aikido,Yoshihito Shibata,2019 Spr,2192,N,,,,,,,,,,,,,,22,,,,,1,,,23
PHYE 43A,Aikido,Yoshihito Shibata,2019 Spr,2192,N,,,,,,,,,,,,,,11,,4,,,2,,,17
PHYS 5B,Intro Physics II,Michael Hance,2019 Spr,2192,N,15,36,14,15,11,10,7,11,1,2,6,,5,,,,,,1,,,134
PHYS 5C,Intro Physics III,Anthony Aguirre,2019 Spr,2192,N,8,21,32,42,41,21,12,6,,,4,,2,,,,,,5,,,194
PHYS 5M,Intro Phys II Lab,George Brown,2019 Spr,2192,N,3,12,2,3,1,,,,,,,,1,,,,,,,,,22
PHYS 5M,Intro Phys II Lab,George Brown,2019 Spr,2192,N,7,12,,3,,,,,,,,,,,,,,,,,,22
PHYS 5M,Intro Phys II Lab,George Brown,2019 Spr,2192,N,2,4,8,4,1,2,,,,,,,,,,,,,1,,,22
PHYS 5M,Intro Phys II Lab,George Brown,2019 Spr,2192,N,2,5,2,7,5,1,,,,,,,,,,,,,,,,22
PHYS 5M,Intro Phys II Lab,George Brown,2019 Spr,2192,N,,15,4,,2,,,1,,,,,,,,,,,,,,22
PHYS 5M,Intro Phys II Lab,George Brown,2019 Spr,2192,N,,8,10,1,1,,,,,,,,,,,,,,1,,,21
PHYS 5N,Intro Phys III Lab,George Brown,2019 Spr,2192,N,,20,,,,,,,,,,,,,,,,,1,,,21
PHYS 5N,Intro Phys III Lab,George Brown,2019 Spr,2192,N,,11,,2,2,,,3,,,,,,,,,,,,,,18
PHYS 5N,Intro Phys III Lab,George Brown,2019 Spr,2192,N,1,17,,1,2,,,,,,,,,,,,,,1,,,22
PHYS 5N,Intro Phys III Lab,George Brown,2019 Spr,2192,N,,10,2,1,1,,,,,,,,,,,,,,,,,14
PHYS 5N,Intro Phys III Lab,George Brown,2019 Spr,2192,N,1,10,3,3,1,,,,,,,,,,,,,,1,,,19
PHYS 5N,Intro Phys III Lab,George Brown,2019 Spr,2192,N,2,12,2,5,,,,,,,,,,,,,,,,,,21
PHYS 5N,Intro Phys III Lab,George Brown,2019 Spr,2192,N,2,12,6,2,,,,,,,,,,,,,,,,,,22
PHYS 5N,Intro Phys III Lab,George Brown,2019 Spr,2192,N,,20,,,,,,,,,,,,,,,,,1,,,21
PHYS 5N,Intro Phys III Lab,George Brown,2019 Spr,2192,N,,18,,,,,,,,,,,,,,,,,,,,18
PHYS 5N,Intro Phys III Lab,George Brown,2019 Spr,2192,N,1,8,,4,,,,,,,,,,,,,,,1,,,14
PHYS 6A,Intro Physics I,Jairo Velasco Jr.,2019 Spr,2192,N,1,5,13,13,44,23,19,29,,,9,,7,,1,,,,7,,,171
PHYS 6B,Intro Physics II,Stephanie Bailey,2019 Spr,2192,N,,5,9,8,25,27,91,41,,,21,,16,1,,,,,4,,,248
PHYS 6C,Intro Phys III,Stephanie Bailey,2019 Spr,2192,N,,10,4,9,22,20,37,26,,,8,,8,1,,,,,5,,,150
PHYS 6L,Intro Phys I Lab,George Brown,2019 Spr,2192,N,2,7,,1,1,2,,1,,,,,1,,,,,,1,,,16
PHYS 6L,Intro Phys I Lab,George Brown,2019 Spr,2192,N,3,5,4,1,2,,1,1,,,,,1,,,,,,,,,18
PHYS 6L,Intro Phys I Lab,George Brown,2019 Spr,2192,N,1,6,5,6,,,,,,,,,,,,,,,2,,,20
PHYS 6L,Intro Phys I Lab,George Brown,2019 Spr,2192,N,,,11,6,2,1,,,,,,,,,,,,,,,,20
PHYS 6L,Intro Phys I Lab,George Brown,2019 Spr,2192,N,,19,,1,,,,,,,,,,,,,,,,,,20
PHYS 6L,Intro Phys I Lab,George Brown,2019 Spr,2192,N,,12,5,2,,1,,,,,,,,,,,,,,,,20
PHYS 6L,Intro Phys I Lab,George Brown,2019 Spr,2192,N,,17,1,,,,,1,,,,,1,,,,,,,,,20
PHYS 6L,Intro Phys I Lab,George Brown,2019 Spr,2192,N,,8,3,4,2,1,,,,,,,,,,,,,,,,18
PHYS 6L,Intro Phys I Lab,George Brown,2019 Spr,2192,N,,5,5,5,1,,,,,,,,,,,,,,1,,,17
PHYS 6M,Intro Phys II Lab,George Brown,2019 Spr,2192,N,,6,1,5,2,,1,,,,,,,1,,,,,,,,16
PHYS 6M,Intro Phys II Lab,George Brown,2019 Spr,2192,N,3,6,3,4,,2,,,,,,,,,,,,,,,,18
PHYS 6M,Intro Phys II Lab,George Brown,2019 Spr,2192,N,1,2,4,7,4,3,,,,,,,,,,,,,1,,,22
PHYS 6M,Intro Phys II Lab,George Brown,2019 Spr,2192,N,2,7,2,2,1,4,,,,,,,,,,,,,1,,,19
PHYS 6M,Intro Phys II Lab,George Brown,2019 Spr,2192,N,,7,7,1,,1,,,,,,,,,,,,,,,,16
PHYS 6M,Intro Phys II Lab,George Brown,2019 Spr,2192,N,,8,3,3,3,,,,,,,,,,,,,,,,,17
PHYS 6N,Intro Phys III Lab,George Brown,2019 Spr,2192,N,1,4,3,3,5,,,,,,,,1,,,,,,1,,,18
PHYS 6N,Intro Phys III Lab,George Brown,2019 Spr,2192,N,,21,,,,,,,,,,,,,,,,,1,,,22
PHYS 6N,Intro Phys III Lab,George Brown,2019 Spr,2192,N,,19,,,,,,,,,,,,,,,,,1,,,20
PHYS 6N,Intro Phys III Lab,George Brown,2019 Spr,2192,N,4,11,2,1,,,,,,,,,,,,,,,1,,,19
PHYS 6N,Intro Phys III Lab,George Brown,2019 Spr,2192,N,2,4,2,4,1,1,,,,,,,,,,,,,,,,14
PHYS 6N,Intro Phys III Lab,George Brown,2019 Spr,2192,N,4,7,3,,2,,,1,,,,,1,,,,,,,,,18
PHYS 110B,"Elec, Magnet, Optic",David Lederman,2019 Spr,2192,N,2,18,3,16,27,3,1,14,,,2,,,,,,,,,,,86
PHYS 115,Computational Phys,Steven Ritz,2019 Spr,2192,N,1,6,5,1,1,,4,1,,,,,,,,,,,2,,,21
PHYS 116B,Math Method Physics,Sriram Shastry,2019 Spr,2192,N,16,14,21,17,9,10,15,3,1,1,,1,1,1,,,,,,,,110
PHYS 134,Physics Adv Lab,Arthur Ramirez,2019 Spr,2192,N,4,2,1,5,5,,4,2,,,,,1,,,,,,,,,24
PHYS 139A,Quantum Mechanics I,Zack Schlesinger,2019 Spr,2192,N,3,12,8,3,19,7,7,13,,,,,3,,,,,,,,,75
PHYS 160,Practical Electron,Robert Johnson,2019 Spr,2192,N,,5,3,2,8,,,1,,,1,,,1,,1,,,1,,,23
PHYS 180,Biophysics,Joshua Deutsch,2019 Spr,2192,N,,14,,,,,,,,,,,1,,,,,,,,,15
PHYS 182,Sci Comm Physics,Terry Terhaar,2019 Spr,2192,N,,23,,,1,,,1,,,,,,,,,,,1,,,26
PHYS 292,Seminar,Robert Johnson,2019 Spr,2192,N,,,,,,,,,,,,,,,,12,,,,,,12
POLI 17,US & World Economy,Matthew Sparke,2019 Spr,2192,N,6,21,18,23,14,11,8,1,4,,,,10,5,3,,,,4,,,128
POLI 61,Politics of Soc Policy,Sara Niedzwiecki,2019 Spr,2192,N,7,39,32,23,13,8,2,,1,1,1,,5,13,,,,,1,,,146
POLI 102,Doing Research,Sara Niedzwiecki,2019 Spr,2192,N,1,7,4,3,5,2,,,1,,,,2,,,,,,1,,,26
POLI 103,Feminist Intervntns,Dion Farquhar,2019 Spr,2192,N,3,16,19,6,3,,,,,,,,,,,,,,1,,,48
POLI 136,Appl Public Policy,Cynthia Chase; Donald Lane,2019 Spr,2192,N,,13,9,7,5,,,,,,,,3,6,,,,,1,,,44
POLI 140D,Politics/East Asia,Benjamin Read,2019 Spr,2192,N,1,6,6,9,22,2,2,7,,,3,,6,,,,,,8,,,72
POLI 141,Politics/China,Benjamin Read,2019 Spr,2192,N,1,6,3,2,5,2,,6,,,,,3,2,,,,,1,,,31
POLI 172,Liberalism/State/War,Thomas Serres,2019 Spr,2192,N,,6,12,13,10,3,1,1,,,,,2,1,,,,,1,,,50
POLI 190C,Visions of Liberation,Yasmeen Daifallah,2019 Spr,2192,N,,4,2,6,4,,,,,,,,,,,,,,,,,16
POLI 190F,Urban Governance,David Gordon,2019 Spr,2192,N,1,3,5,4,2,3,3,,,,,,1,,,,,,,,,22
POLI 190M,Poli in Am. States,Melanie Springer,2019 Spr,2192,N,,9,,4,1,,3,2,,,,,1,,,,,,1,,,21
POLI 200B,Soc Forces/Pol Chng,Katharine Beaumont,2019 Spr,2192,N,,,,,1,,,,,,,,,,,14,,,,,,15
PRTR 61,Seminar In Arts,Irene Gustafson; Irene Lusztig,2019 Spr,2192,N,2,7,5,1,,,,,,,,,,1,,,,,,,,16
PRTR 61Q,Queering The Arts,Ryan Lambe,2019 Spr,2192,N,1,4,2,,2,,1,,,,,1,2,1,,,,,1,,,15
PRTR 63W,Ways Of Knowing,Brenda Sanfilippo,2019 Spr,2192,N,1,7,,2,,,,,,,,,1,1,,,,,1,,,13
PRTR 71A,AwakeningCompassion,Christine King,2019 Spr,2192,N,18,3,3,1,,1,,,,,,,,1,,,,,,,,27
PRTR 175S,Data and Democracy,Abram Stern,2019 Spr,2192,N,3,15,,,,,,,,,,,,,,,,,1,,,19
PSYC 1,Intro Psychology,Alan Kawamoto; Robert Majzler,2019 Spr,2192,N,10,40,43,25,74,55,2,17,2,1,4,1,8,7,,,,,2,,,291
PSYC 2,Intro Psyc Stats,Saskias Casanova,2019 Spr,2192,N,8,39,28,20,22,14,3,7,2,,,,2,2,,,,,,,,147
PSYC 10,Intro Develop Psych,Adriana Manago,2019 Spr,2192,N,3,8,10,7,20,20,14,24,,,5,,5,1,,,,,3,,,120
PSYC 100,Research Methods,Michelle Little,2019 Spr,2192,N,6,30,37,37,44,28,13,7,5,1,,1,3,,,,,,3,,,215
PSYC 102,Adolescent Develop,Margarita Azmitia,2019 Spr,2192,N,2,5,3,10,15,1,6,4,,,1,,,1,,,,,3,,,51
PSYC 105,Children's Thinking,Maureen Callanan,2019 Spr,2192,N,5,15,8,10,16,2,3,1,,,1,,,1,,,,,,,,62
PSYC 117,Child Advocacy,Barbara O'Brien,2019 Spr,2192,N,,17,13,11,17,6,15,5,6,1,1,1,3,4,,,,,3,,,103
PSYC 119E,The World of Babies,Su-Hua Wang,2019 Spr,2192,N,1,9,5,3,6,4,2,,,,,,,,,,,,,,,30
PSYC 119K,EmotionalDevelopment,Audun Dahl,2019 Spr,2192,N,10,8,9,1,2,,1,1,,,,,1,,,,,,,,,33
PSYC 120,Visual/Spatial Cogn,Bryan Holbrook,2019 Spr,2192,N,3,18,12,18,17,11,10,10,,,3,,4,3,,,,,5,,,114
PSYC 121,Perception,Nicolas Davidenko,2019 Spr,2192,N,18,26,20,15,10,8,9,2,,2,2,,3,2,,,,,,,,117
PSYC 123,Cognitive Neurosci,Jason Samaha,2019 Spr,2192,N,20,12,9,5,7,6,9,2,1,1,2,1,2,3,,,,,2,,,82
PSYC 129,Learning and Memory,Benjamin Storm,2019 Spr,2192,N,8,59,20,15,45,10,6,20,,4,1,,6,7,,,,,4,,,205
PSYC 139M,Human-Robot Inter,Leila Takayama,2019 Spr,2192,N,13,11,3,,2,,,,,,,,,1,,,,,,,,30
PSYC 139P,NatArtIntelligence,Alan Kawamoto,2019 Spr,2192,N,,3,15,1,2,2,1,,,,,,3,1,,,,,1,,,29
PSYC 140G,Women's Lives,Shelly Grabe,2019 Spr,2192,N,,32,14,5,16,4,1,3,,,,,2,2,,,,,3,,,82
PSYC 140Q,Soc Psy Gendr,Rosanna Guadagno,2019 Spr,2192,N,,34,30,17,14,5,6,4,,1,1,,,1,,,,,,,,113
PSYC 148,Stereotyping,Courtney Bonam,2019 Spr,2192,N,3,59,,17,23,,3,1,,,,,4,1,,,,,,,,111
PSYC 159E,Peace Psychology,Robert Majzler,2019 Spr,2192,N,1,13,6,3,5,2,1,1,,,,,,,,,,,,,,32
PSYC 159S,Queer Intimacies,Phillip Hammack,2019 Spr,2192,N,7,9,5,1,6,2,1,,,,,,1,,,,,,,,,32
PSYC 170,Abnormal Psychology,Andrea Cook,2019 Spr,2192,N,8,23,32,17,9,12,6,2,2,1,1,,1,3,,,,,,,,117
PSYC 175,Pers/Relatn/Emotion,Kimberly Cardilla,2019 Spr,2192,N,5,51,34,32,29,23,8,16,,,1,,1,2,,,,,,,,202
PSYC 181,Psych Data Analysis,Kimberly Cardilla,2019 Spr,2192,N,2,67,15,9,5,4,1,1,,1,1,,1,3,,,,,2,,,112
PSYC 191A,Teaching Psychology,Robert Majzler,2019 Spr,2192,N,2,11,,,,,,,,,,,,,,,,,,,,13
PSYC 193A,Develop Field Study,Kimberly Cardilla,2019 Spr,2192,N,,,,,,,,,,,,,,14,,,,,,,,14
PSYC 193D,Clin/Pers Fld Study,Kimberly Cardilla,2019 Spr,2192,N,,,,,,,,,,,,,,15,,,,,,,,15
PSYC 194A,Adv Devel Research,Audun Dahl,2019 Spr,2192,N,,12,,,,,,,,,,,,,,,,,,,,12
PSYC 194B,Adv Cognitive Res,Jean Fox Tree,2019 Spr,2192,N,1,18,,,,,,,,,,,,,,,,,,,,19
PSYC 194B,Adv Cognitive Res,Alan Kawamoto,2019 Spr,2192,N,,13,2,,,,,,,,,,,,,,,,,,,15
PSYC 194B,Adv Cognitive Res,Benjamin Storm,2019 Spr,2192,N,,20,,,,,,,,,,,,,,,,,,,,20
PSYC 194B,Adv Cognitive Res,Stephen Whittaker,2019 Spr,2192,N,1,16,,,,,,,,,,,,,,,,,,,,17
PSYC 194C,Adv Social Research,Rebecca Covarrubias,2019 Spr,2192,N,17,2,,,,,,,,,,,,,,,,,,,,19
PSYC 194C,Adv Social Research,Regina Langhout,2019 Spr,2192,N,,12,2,,,,,,,,,,,,,,,,,,,14
PSYC 230,Cogni Psych Seminar,Alan Kawamoto,2019 Spr,2192,N,,,,,,,,,,,,,,,,17,,,,,,17
PSYC 231,Social Psych Sem,Shelly Grabe,2019 Spr,2192,N,,,,,,,,,,,,,,,,18,,,,,,18
PSYC 242,Dev Psyc Seminar,Adriana Manago,2019 Spr,2192,N,,,,,,,,,,,,,,,,16,,,,,,16
PSYC 246,Cultrl Diver Hum Dev,Barbara Rogoff,2019 Spr,2192,N,,,,,,,,,,,,,,1,,11,,,,,,12
PSYC 255,Qualitative Psyc,Phillip Hammack,2019 Spr,2192,N,,,,,,,,,,,,,,,,14,,1,,,,15
SOCY 1,Intro Sociology,Christie Mccullen,2019 Spr,2192,N,,25,41,20,19,4,1,1,2,,,,1,1,,,,,1,,,116
SOCY 105B,Contem Soc Theory,Camilla Hawthorne,2019 Spr,2192,N,,49,24,16,21,4,2,4,1,,,1,2,6,,,,,2,,,132
SOCY 107B,Projects/Grants,Kathryn Roper,2019 Spr,2192,N,1,33,,,,,,,,,,,,2,,,,,,,,36
SOCY 111,Family & Society,Megan McDrew,2019 Spr,2192,N,18,11,10,5,1,1,,1,,,,,,1,,,,,2,,,50
SOCY 117M,Immigratn Enf & Dep,Juan Pedroza,2019 Spr,2192,N,3,9,15,6,2,1,,,,,,,1,1,,,,,1,,,39
SOCY 139T,Research Practicum,Steven Mc Kay,2019 Spr,2192,N,2,10,9,9,5,2,3,,,,,,2,,,,,,4,,,46
SOCY 148,Ed Inequality,Rebecca London,2019 Spr,2192,N,4,15,8,1,2,1,,1,,,,,,1,,,,,,,,33
SOCY 149,Sex and Gender,Megan McNamara,2019 Spr,2192,N,29,40,15,11,5,2,4,4,1,,2,,,4,,,,,3,,,120
SOCY 150,Socy Death & Dying,Megan McDrew,2019 Spr,2192,N,12,7,6,2,4,1,,,,,,,,6,,,,,,,,38
SOCY 155,Poli Consciousness,George Domhoff,2019 Spr,2192,N,1,4,4,4,6,,1,,,,,,,3,,,,,2,,,25
